GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
practica,com.erick.morales,calculadora,0,29,0,0,0,10,0,7,0,7
practica,com.erick.morales,App,7,0,0,0,3,0,2,0,2,0
